Session, antispamlol_bot:        	Garbage collected 0 outgoing messages in DC 2, 1 left
Session, antispamlol_bot:        	Can't garbage collect msgs_state_req with message ID 7259267364792713632 sent 2927 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session, antispamlol_bot:        	Garbage collected 0 outgoing messages in DC 2, 1 left
Session, qwerterqwer_bot:        	Garbage collected 1 outgoing messages in DC 2, 1 left
Session, antispamlol_bot:        	Can't garbage collect msgs_state_req with message ID 7259267364792713632 sent 2928 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session, antispamlol_bot:        	Garbage collected 0 outgoing messages in DC 2, 1 left
Session, qwerterqwer_bot:        	Garbage collected 1 outgoing messages in DC 2, 1 left
LoggerLoop, antispamlol_bot:     	Pausing check loop in DC 2.0 for 5
Session, qwerterqwer_bot:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, qwerterqwer_bot:        	Garbage collected 1 outgoing messages in DC 2, 0 left
Session, antispamlol_bot:        	Can't garbage collect msgs_state_req with message ID 7259267364792713632 sent 2929 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session, antispamlol_bot:        	Garbage collected 0 outgoing messages in DC 2, 1 left
Session, qwerterqwer_bot:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, qwerterqwer_bot:        	Garbage collected 1 outgoing messages in DC 2, 0 left
Session, antispamlol_bot:        	Can't garbage collect msgs_state_req with message ID 7259267364792713632 sent 2931 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session, antispamlol_bot:        	Garbage collected 0 outgoing messages in DC 2, 1 left
Session, qwerterqwer_bot:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, qwerterqwer_bot:        	Garbage collected 2 outgoing messages in DC 2, 0 left
Session, qwerterqwer_bot:        	Garbage collected 1 outgoing messages in DC 2, 1 left
Session, antispamlol_bot:        	Can't garbage collect msgs_state_req with message ID 7259267364792713632 sent 2932 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session, antispamlol_bot:        	Garbage collected 0 outgoing messages in DC 2, 1 left
Session, qwerterqwer_bot:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, qwerterqwer_bot:        	Garbage collected 1 outgoing messages in DC 2, 0 left
Session, antispamlol_bot:        	Can't garbage collect msgs_state_req with message ID 7259267364792713632 sent 2933 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session, antispamlol_bot:        	Garbage collected 0 outgoing messages in DC 2, 1 left
Session, qwerterqwer_bot:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, qwerterqwer_bot:        	Garbage collected 2 outgoing messages in DC 2, 0 left
Session, antispamlol_bot:        	Can't garbage collect msgs_state_req with message ID 7259267364792713632 sent 2934 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session, antispamlol_bot:        	Garbage collected 0 outgoing messages in DC 2, 1 left
SessionPaths, qwerterqwer_bot:   	Waiting for exclusive lock of D:\xampp\htdocs\bogdan\antispam1\0\safe.php.lock...
SessionPaths, qwerterqwer_bot:   	Got exclusive lock of D:\xampp\htdocs\bogdan\antispam1\0\safe.php.lock...
SessionPaths, qwerterqwer_bot:   	Waiting for exclusive lock of D:\xampp\htdocs\bogdan\antispam1\0\lightState.php.lock...
SessionPaths, qwerterqwer_bot:   	Got exclusive lock of D:\xampp\htdocs\bogdan\antispam1\0\lightState.php.lock...
APIWrapper, qwerterqwer_bot:     	Saved session!
Session, qwerterqwer_bot:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, qwerterqwer_bot:        	Garbage collected 2 outgoing messages in DC 2, 0 left
LoggerLoop, antispamlol_bot:     	Pausing check loop in DC 2.0 for 5
Session, antispamlol_bot:        	Can't garbage collect msgs_state_req with message ID 7259267364792713632 sent 2935 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session, antispamlol_bot:        	Garbage collected 0 outgoing messages in DC 2, 1 left
SessionPaths, qwerterqwer_bot:   	Waiting for exclusive lock of D:\xampp\htdocs\bogdan\antispam1\1\safe.php.lock...
SessionPaths, qwerterqwer_bot:   	Got exclusive lock of D:\xampp\htdocs\bogdan\antispam1\1\safe.php.lock...
SessionPaths, qwerterqwer_bot:   	Waiting for exclusive lock of D:\xampp\htdocs\bogdan\antispam1\1\lightState.php.lock...
SessionPaths, qwerterqwer_bot:   	Got exclusive lock of D:\xampp\htdocs\bogdan\antispam1\1\lightState.php.lock...
APIWrapper, qwerterqwer_bot:     	Saved session!
UpdateLoop, antispamlol_bot:     	Resumed and fetching normal difference...
WriteLoop, antispamlol_bot:      	Sending updates.getDifference pending as encrypted message to DC 2.0
WriteLoop, antispamlol_bot:      	Adding msgs_ack
WriteLoop, antispamlol_bot:      	Wrapping in msg_container (2 messages of total size 52) as encrypted message for DC 2.0
WriteLoop, antispamlol_bot:      	Sent encrypted payload to DC 2.0
LoggerLoop, antispamlol_bot:     	Pausing write loop in DC 2.0 until resume is called
LoggerLoop, antispamlol_bot:     	Pausing check loop in DC 2.0 for 5
ReadLoop, antispamlol_bot:       	Received payload from DC 2.0
LoggerLoop, antispamlol_bot:     	Pausing read loop in DC 2.0 until resume is called
ResponseHandler, antispamlol_bot: 	Received rpc_result from DC 2
SeqNoHandler, antispamlol_bot:   	SECURITY WARNING: Seqno mismatch (should be 6949, is 853, incoming message rpc_result)
UpdateLoop, antispamlol_bot:     	Got updates.differenceEmpty
UpdateLoop, antispamlol_bot:     	Finished parsing updates in getUpdate loop generic, now resuming feeders
UpdateLoop, antispamlol_bot:     	Finished parsing updates in getUpdate loop generic, pausing for 10 seconds
LoggerLoop, antispamlol_bot:     	Pausing getUpdate loop generic for 10
LoggerLoop, antispamlol_bot:     	Pausing call check for 10
Session, antispamlol_bot:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, antispamlol_bot:        	Can't garbage collect msgs_state_req with message ID 7259267364792713632 sent 2936 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session, antispamlol_bot:        	Garbage collected 2 outgoing messages in DC 2, 1 left
LoggerLoop, antispamlol_bot:     	Pausing robin loop DC -4 for 10
LoggerLoop, antispamlol_bot:     	Pausing robin loop DC -2 for 10
Session, antispamlol_bot:        	Can't garbage collect msgs_state_req with message ID 7259267364792713632 sent 2937 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session, antispamlol_bot:        	Garbage collected 0 outgoing messages in DC 2, 1 left
Session, antispamlol_bot:        	Can't garbage collect msgs_state_req with message ID 7259267364792713632 sent 2938 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session, antispamlol_bot:        	Garbage collected 0 outgoing messages in DC 2, 1 left
Session, antispamlol_bot:        	Can't garbage collect msgs_state_req with message ID 7259267364792713632 sent 2939 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session, antispamlol_bot:        	Garbage collected 0 outgoing messages in DC 2, 1 left
SessionPaths, qwerterqwer_bot:   	Waiting for exclusive lock of D:\xampp\htdocs\bogdan\antispam1\2\safe.php.lock...
SessionPaths, qwerterqwer_bot:   	Got exclusive lock of D:\xampp\htdocs\bogdan\antispam1\2\safe.php.lock...
SessionPaths, qwerterqwer_bot:   	Waiting for exclusive lock of D:\xampp\htdocs\bogdan\antispam1\2\lightState.php.lock...
SessionPaths, qwerterqwer_bot:   	Got exclusive lock of D:\xampp\htdocs\bogdan\antispam1\2\lightState.php.lock...
APIWrapper, qwerterqwer_bot:     	Saved session!
Session, qwerterqwer_bot:        	Garbage collected 1 outgoing messages in DC 2, 1 left
Session, qwerterqwer_bot:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, qwerterqwer_bot:        	Garbage collected 2 outgoing messages in DC 2, 0 left
Session, antispamlol_bot:        	Can't garbage collect msgs_state_req with message ID 7259267364792713632 sent 2940 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session, antispamlol_bot:        	Garbage collected 0 outgoing messages in DC 2, 1 left
LoggerLoop, antispamlol_bot:     	Pausing check loop in DC 2.0 for 5
Session, qwerterqwer_bot:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, qwerterqwer_bot:        	Garbage collected 1 outgoing messages in DC 2, 0 left
Session, antispamlol_bot:        	Can't garbage collect msgs_state_req with message ID 7259267364792713632 sent 2941 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session, antispamlol_bot:        	Garbage collected 0 outgoing messages in DC 2, 1 left
LoggerLoop, antispamlol_bot:     	Pausing Ping loop in DC 2.0 for 60
PingLoop, antispamlol_bot:       	Ping DC 2.0
WriteLoop, antispamlol_bot:      	Sending ping_delay_disconnect pending as encrypted message to DC 2.0
WriteLoop, antispamlol_bot:      	Adding msgs_ack
WriteLoop, antispamlol_bot:      	Wrapping in msg_container (2 messages of total size 48) as encrypted message for DC 2.0
WriteLoop, antispamlol_bot:      	Sent encrypted payload to DC 2.0
LoggerLoop, antispamlol_bot:     	Pausing write loop in DC 2.0 until resume is called
LoggerLoop, antispamlol_bot:     	Pausing check loop in DC 2.0 for 5
ReadLoop, antispamlol_bot:       	Received payload from DC 2.0
LoggerLoop, antispamlol_bot:     	Pausing read loop in DC 2.0 until resume is called
ResponseHandler, antispamlol_bot: 	Received pong from DC 2
SeqNoHandler, antispamlol_bot:   	SECURITY WARNING: Seqno mismatch (should be 6948, is 854, incoming message pong)
LoggerLoop, antispamlol_bot:     	Pausing Ping loop in DC 1.0 for 60
PingLoop, antispamlol_bot:       	Ping DC 1.0
WriteLoop, antispamlol_bot:      	Sending ping_delay_disconnect pending as encrypted message to DC 1.0
WriteLoop, antispamlol_bot:      	Sent encrypted payload to DC 1.0
LoggerLoop, antispamlol_bot:     	Pausing write loop in DC 1.0 until resume is called
LoggerLoop, antispamlol_bot:     	Pausing check loop in DC 1.0 for 5
Session, qwerterqwer_bot:        	Garbage collected 1 outgoing messages in DC 2, 1 left
Session, qwerterqwer_bot:        	Garbage collected 1 outgoing messages in DC 2, 1 left
Session, antispamlol_bot:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, antispamlol_bot:        	Can't garbage collect msgs_state_req with message ID 7259267364792713632 sent 2942 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session, antispamlol_bot:        	Garbage collected 2 outgoing messages in DC 2, 1 left
Session, antispamlol_bot:        	Garbage collected 0 outgoing messages in DC 1, 1 left
ReadLoop, antispamlol_bot:       	Received payload from DC 1.0
LoggerLoop, antispamlol_bot:     	Pausing read loop in DC 1.0 until resume is called
ResponseHandler, antispamlol_bot: 	Received pong from DC 1
SeqNoHandler, antispamlol_bot:   	SECURITY WARNING: Seqno mismatch (should be 4, is 0, incoming message pong)
Session, qwerterqwer_bot:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, qwerterqwer_bot:        	Garbage collected 1 outgoing messages in DC 2, 0 left
Session, qwerterqwer_bot:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, qwerterqwer_bot:        	Garbage collected 1 outgoing messages in DC 2, 0 left
Session, antispamlol_bot:        	Can't garbage collect msgs_state_req with message ID 7259267364792713632 sent 2943 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session, antispamlol_bot:        	Garbage collected 0 outgoing messages in DC 2, 1 left
Session, antispamlol_bot:        	Garbage collected 1 incoming messages in DC 1, 0 left
Session, antispamlol_bot:        	Garbage collected 1 outgoing messages in DC 1, 0 left
Session, qwerterqwer_bot:        	Garbage collected 1 outgoing messages in DC 2, 1 left
Session, antispamlol_bot:        	Can't garbage collect msgs_state_req with message ID 7259267364792713632 sent 2944 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session, antispamlol_bot:        	Garbage collected 0 outgoing messages in DC 2, 1 left
Session, qwerterqwer_bot:        	Garbage collected 2 incoming messages in DC 2, 0 left
Session, qwerterqwer_bot:        	Garbage collected 3 outgoing messages in DC 2, 0 left
Session, antispamlol_bot:        	Can't garbage collect msgs_state_req with message ID 7259267364792713632 sent 2945 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session, antispamlol_bot:        	Garbage collected 0 outgoing messages in DC 2, 1 left
